id,University,Company Name,Department,Job Title,Skill
1,Universidade Federal de Lavras,Lazz,Business Development,Quality Control Specialist,Process Engineering
2,East Africa University Bosaso,Oyoba,Training,Computer Systems Analyst III,GTK
3,Silliman University,Roombo,Training,Web Developer III,Juvenile Delinquency
4,Université Montesquieu (Bordeaux IV),Zoozzy,Services,Geological Engineer,UTRAN
5,St. Petersburg Institute of Sales Management and Economics,Meembee,Research and Development,Compensation Analyst,Zmap
6,Atlantic University,Voonder,Business Development,Technical Writer,uCOS
7,Universidade Camilo Castelo Branco,Avaveo,Services,Safety Technician IV,Lotus Domino
8,Mount Mercy College,Dynabox,Marketing,Community Outreach Specialist,Functional Specifications
9,Green Mountain College,Pixonyx,Legal,Social Worker,Android SDK
10,"Federal University of Technology, Akure",Camido,Business Development,Executive Secretary,Kompozer
11,"Islamic Azad University, Hamedan",Kayveo,Accounting,Staff Accountant II,Small Business Development
12,Universidade Federal de Juiz de Fora,Ozu,Support,Speech Pathologist,SSP
13,Ecole Nationale Supérieure de Chimie de Paris,Fiveclub,Training,Senior Financial Analyst,RTM
14,Instituto Universitario de Estudios Navales y Marítimos,Twitterbridge,Business Development,Senior Editor,Import
15,Palestine Technical University - Kadoorie,Tazzy,Legal,Social Worker,Small Business Development
16,Walla Walla College,Skyble,Research and Development,Biostatistician IV,Food Preparation
17,California Coast University,DabZ,Legal,Analog Circuit Design manager,Theatre
18,Danish Business Academy,Izio,Product Management,Design Engineer,CMMI
19,European University Institute,Riffpath,Product Management,Statistician III,Geomatics
20,Simpson College Iowa,Agimba,Engineering,Technical Writer,NGOSS
21,Skadron College,Ntags,Product Management,Registered Nurse,RRP
22,Universidad Nacional Autonoma de Nicaragua,Trudeo,Business Development,Tax Accountant,Claims Management
23,Tufts University,Gabspot,Support,Physical Therapy Assistant,UK Employment Law
24,University of Geneva,Photofeed,Engineering,Chief Design Engineer,Light Rail
25,Universidad Libre de Colombia,Roombo,Product Management,Senior Sales Associate,CNC Mill
26,Malmö University College,Voolith,Human Resources,Office Assistant III,Hand-drawn Typography
27,Shenyang Polytechnic University,Zoomlounge,Marketing,Quality Control Specialist,Piano Playing
28,Lagos State University,Topiczoom,Legal,Account Executive,Working Capital Management
29,Universidad Carlos III de Madrid,Brightbean,Business Development,Software Test Engineer I,DNV
30,Volyn National University Lesja Ukrainka,Zoomcast,Product Management,Editor,DNS Server
31,European University Institute,Thoughtbridge,Legal,Mechanical Systems Engineer,Euroclear
32,Technische Universität Graz,Jaloo,Product Management,Sales Associate,KMS
33,"Bauchi State University, Gadau",Linklinks,Training,Office Assistant III,RHEL
34,Nugaal University,Vipe,Sales,Nurse,OJEU
35,Amrita Vishwa Vidyapeetham (Deemed University),Dynabox,Sales,Internal Auditor,MMC
36,Grand Valley State University,Zazio,Marketing,Food Chemist,Claims Handling
37,Université Chouaib Doukkali,Livefish,Engineering,Technical Writer,Cisco Routers
38,King College,Skinder,Services,Analog Circuit Design manager,UC4
39,Universidad Austral Buenos Aires,Divape,Training,VP Quality Control,Culinary Skills
40,Vanderbilt University,Skyvu,Training,Research Assistant I,IRS problem resolution
41,Universitas Jember,Rhybox,Engineering,Executive Secretary,Document Imaging
42,University of Southern Philippines Foundation,Yakidoo,Product Management,Community Outreach Specialist,Music Festivals
43,"University of Maine, Fort Kent",Centidel,Support,Geologist II,Diagnostic Ultrasound
44,Seoul City University,Realcube,Marketing,Tax Accountant,NDA
45,Western Kazakhstan Agricultural University,Devify,Business Development,Librarian,Target Costing
46,Banking University of Ho Chi Minh City,Babbleopia,Product Management,Environmental Specialist,CTRM
47,Berea College,Realcube,Sales,Account Executive,EBA
48,"DeVry Institute of Technology, Kansas City",Blognation,Legal,Financial Analyst,ZBrush
49,Prague Institute of Chemical Technology,Topicshots,Business Development,Structural Analysis Engineer,MSBuild
50,High Point University,Gigazoom,Marketing,Programmer Analyst II,Swimming
51,University of Surrey,Gabspot,Marketing,Tax Accountant,Kinetic Typography
52,University of the South Pacific,Voonix,Accounting,Actuary,RFLP
53,Tzu Chi College of Medicine and Humanities,Jazzy,Services,Data Coordiator,ZoomText
54,Pázmány Péter Catholic University,Kanoodle,Product Management,Graphic Designer,SAP Implementation
55,Hebei Normal University,Flashset,Sales,Assistant Media Planner,Research
56,University of Central Arkansas,Realfire,Accounting,Research Associate,Dysphagia
57,Our Lady of Fatima University,Tagpad,Training,Research Associate,Uranium
58,Widener University,Fliptune,Accounting,Actuary,Core Banking
59,Ashland University,Edgetag,Product Management,Software Engineer II,Phone Etiquette
60,Florida University of Medicine,Fatz,Sales,Business Systems Development Analyst,JScript
61,"Institut National de la Recherche Scientifique, Université du Québec",Avamba,Sales,VP Quality Control,Freelance Writing
62,University of Groningen,Wikizz,Legal,Structural Engineer,DTE
63,American University of Middle East,Riffwire,Engineering,Recruiting Manager,Phase II
64,Mashhad University of Medical Sciences,Reallinks,Sales,Engineer II,Legal Issues
65,Universidade de Lisboa,Bubblebox,Human Resources,VP Product Management,Apache
