,datetime,count,temp,precip
1,1-Jan-19,23921,10.6,34.75
2,2-Jan-19,20922,3.35,0
3,3-Jan-19,19167,5.55,0
4,4-Jan-19,20500,5.55,0
5,5-Jan-19,21073,6.95,5.75
6,6-Jan-19,21481,5.25,5.5
7,7-Jan-19,16442,-1.1,0
8,8-Jan-19,15568,4.75,1.75
9,9-Jan-19,14917,5,5.25
10,10-Jan-19,16109,0.3,0
11,11-Jan-19,19850,-3.1,0
12,12-Jan-19,20355,-2.25,0
13,13-Jan-19,21518,-1.65,0
14,14-Jan-19,15923,-2.5,0
15,15-Jan-19,15227,-0.8,0
16,16-Jan-19,17187,1.9,0
17,17-Jan-19,18836,-1.1,0
18,18-Jan-19,22594,1.1,0.75
19,19-Jan-19,22869,1.7,0
20,20-Jan-19,20441,-2.25,28.5
21,21-Jan-19,24738,-11.65,5
22,22-Jan-19,16580,-5.3,0
23,23-Jan-19,15651,3.05,0
24,24-Jan-19,16254,8.05,2
25,25-Jan-19,19553,1.4,35
26,26-Jan-19,19232,-1.4,0
27,27-Jan-19,23984,4.15,0
28,28-Jan-19,17443,0,0
29,29-Jan-19,14984,1.7,0
30,30-Jan-19,15959,-5.55,6.75
31,31-Jan-19,14490,-12.25,0
32,1-Feb-19,17709,-8.35,0
33,2-Feb-19,18569,-3.05,0
34,3-Feb-19,20223,5.55,0
35,4-Feb-19,18344,8.85,0
36,5-Feb-19,16474,10.55,0
37,6-Feb-19,17127,4.2,0
38,7-Feb-19,19968,4.45,14
39,8-Feb-19,23290,6.65,8.25
40,9-Feb-19,22497,-1.9,1.75
41,10-Feb-19,26330,-1.35,0
42,11-Feb-19,21134,1.1,0
43,12-Feb-19,17374,-0.55,0
44,13-Feb-19,19611,3.05,19
45,14-Feb-19,20155,3.9,0
46,15-Feb-19,24374,8.9,0
47,16-Feb-19,26597,4.45,0
48,17-Feb-19,24630,-0.55,0
49,18-Feb-19,25818,1.1,3.25
50,19-Feb-19,20590,-1.1,0.25
51,20-Feb-19,19660,-1.95,0
52,21-Feb-19,19531,5.3,18.25
53,22-Feb-19,22330,4.45,0
54,23-Feb-19,22255,1.65,0
55,24-Feb-19,23712,5,12.75
56,25-Feb-19,20958,2.5,5.5
57,26-Feb-19,17474,-0.55,0
58,27-Feb-19,16067,-3.35,0
59,28-Feb-19,16089,-0.55,0.75
60,1-Mar-19,22126,-1.1,2.25
61,2-Mar-19,21041,1.65,10.25
62,3-Mar-19,22251,2.5,1.25
63,4-Mar-19,17344,1.1,21
64,5-Mar-19,14794,-3.35,0
65,6-Mar-19,13696,-5.25,0
66,7-Mar-19,16438,-3.6,0
67,8-Mar-19,20512,-0.8,0
68,9-Mar-19,19845,4.7,0
69,10-Mar-19,23221,4.15,7.5
70,11-Mar-19,17739,8.35,9
71,12-Mar-19,14549,3.35,0
72,13-Mar-19,13023,3.9,0
73,14-Mar-19,14390,9.45,0
74,15-Mar-19,19278,15.3,0
75,16-Mar-19,19711,9.45,6.75
